АдресПолучателя;ГородПолучателя;ДатаИсполнения;ДатаНазначения;ДатаРазмещения;Доставка;ИндексПолучателя;КодЗаказа;КодКлиента;КодСотрудника;НазваниеПолучателя;ОбластьПолучателя;СтоимостьДоставки;СтранаПолучателя
Rambla de Cataluna, 23;Барселона;09.07.97 08:00;11.07.97 08:00;13.06.97 08:00;3;8022;10568;GALED;3;Galeria del gastronomo;;6,54;Испания
2817 Milton Dr.;Альбукерке;11.07.97 08:00;14.07.97 08:00;16.06.97 08:00;1;87110;10569;RATTC;5;Rattlesnake Canyon Grocery;NM;58,98;США
43 rue St. Laurent;Монреаль;19.06.97 08:00;15.07.97 08:00;17.06.97 08:00;3;H1J 1C3;10570;MEREP;3;Mere Paillarde;Quebec;188,99;Канада
Kirchgasse 6;Грасс;04.07.97 08:00;29.07.97 08:00;17.06.97 08:00;3;8010;10571;ERNSH;8;Ernst Handel;;26,06;Австрия
Berguvsvagen  8;Лулео;25.06.97 08:00;16.07.97 08:00;18.06.97 08:00;2;S-958 22;10572;BERGS;3;Berglunds snabbkop;;116,43;Швеция
Mataderos  2312;Мехико;20.06.97 08:00;17.07.97 08:00;19.06.97 08:00;3;05023;10573;ANTON;7;Antonio Moreno Taqueria;;84,84;Мексика
722 DaVinci Blvd.;Керкленд;30.06.97 08:00;17.07.97 08:00;19.06.97 08:00;2;98034;10574;TRAIH;4;Trail's Head Gourmet Provisioners;WA;37,6;США
Heerstr. 22;Лейпциг;30.06.97 08:00;04.07.97 08:00;20.06.97 08:00;1;04179;10575;MORGK;5;Morgenstern Gesundkost;;127,34;Германия
Avda. Azteca 123;Мехико;30.06.97 08:00;07.07.97 08:00;23.06.97 08:00;3;05033;10576;TORTU;3;Tortuga Restaurante;;18,56;Мексика
722 DaVinci Blvd.;Керкленд;30.06.97 08:00;04.08.97 08:00;23.06.97 08:00;2;98034;10577;TRAIH;9;Trail's Head Gourmet Provisioners;WA;25,41;США
Fauntleroy Circus;Лондон;25.07.97 08:00;22.07.97 08:00;24.06.97 08:00;3;EC2 5NT;10578;BSBEV;4;B's Beverages;;29,6;Великобритания
"87 Polk St.
Suite 5";Сан-Франциско;04.07.97 08:00;23.07.97 08:00;25.06.97 08:00;2;94117;10579;LETSS;1;Let's Stop N Shop;CA;13,73;США
Mehrheimerstr. 369;Кельн;01.07.97 08:00;24.07.97 08:00;26.06.97 08:00;3;50739;10580;OTTIK;4;Ottilies Kaseladen;;75,89;Германия
Rua Oros, 92;Сан-Пауло;02.07.97 08:00;24.07.97 08:00;26.06.97 08:00;1;05442-030;10581;FAMIA;3;Familia Arquibaldo;SP;3,01;Бразилия
Forsterstr. 57;Мангейм;14.07.97 08:00;25.07.97 08:00;27.06.97 08:00;2;68306;10582;BLAUS;3;Blauer See Delikatessen;;27,71;Германия
Torikatu 38;Оулу;04.07.97 08:00;28.07.97 08:00;30.06.97 08:00;2;90110;10583;WARTH;2;Wartian Herkku;;7,28;Финляндия
24, place Kleber;Страсбург;04.07.97 08:00;28.07.97 08:00;30.06.97 08:00;1;67000;10584;BLONP;4;Blondel pere et fils;;59,14;Франция
Rua do Mercado, 12;Ресенде;10.07.97 08:00;29.07.97 08:00;01.07.97 08:00;1;08737-363;10585;WELLI;7;Wellington Importadora;SP;13,41;Бразилия
Strada Provinciale 124;Реджио-Эмилио;09.07.97 08:00;30.07.97 08:00;02.07.97 08:00;1;42100;10586;REGGC;9;Reggiani Caseifici;;0,48;Италия
Rua da Panificadora, 12;Рио-де-Жанейро;09.07.97 08:00;30.07.97 08:00;02.07.97 08:00;1;02389-673;10587;QUEDE;1;Que Delicia;RJ;62,52;Бразилия
Taucherstrasse 10;Кюневальд;10.07.97 08:00;31.07.97 08:00;03.07.97 08:00;3;01307;10588;QUICK;2;QUICK-Stop;;194,67;Германия
2732 Baker Blvd.;Юджин;14.07.97 08:00;01.08.97 08:00;04.07.97 08:00;2;97403;10589;GREAL;8;Great Lakes Food Market;OR;4,42;США
43 rue St. Laurent;Монреаль;14.07.97 08:00;04.08.97 08:00;07.07.97 08:00;3;H1J 1C3;10590;MEREP;4;Mere Paillarde;Quebec;44,77;Канада
Smagsloget 45;Орхус;16.07.97 08:00;21.07.97 08:00;07.07.97 08:00;1;8200;10591;VAFFE;1;Vaffeljernet;;55,92;Дания
Magazinweg 7;Франкфурт;16.07.97 08:00;05.08.97 08:00;08.07.97 08:00;1;60528;10592;LEHMS;3;Lehmanns Marktstand;;32,1;Германия
Magazinweg 7;Франкфурт;13.08.97 08:00;06.08.97 08:00;09.07.97 08:00;2;60528;10593;LEHMS;7;Lehmanns Marktstand;;174,2;Германия
2743 Bering St.;Анкоридж;16.07.97 08:00;06.08.97 08:00;09.07.97 08:00;2;99508;10594;OLDWO;3;Old World Delicatessen;AK;5,24;США
Kirchgasse 6;Грасс;14.07.97 08:00;07.08.97 08:00;10.07.97 08:00;1;8010;10595;ERNSH;2;Ernst Handel;;96,78;Австрия
1029 - 12th Ave. S.;Сиэтл;12.08.97 08:00;08.08.97 08:00;11.07.97 08:00;1;98124;10596;WHITC;8;White Clover Markets;WA;16,34;США
Geislweg 14;Зальцбург;18.07.97 08:00;08.08.97 08:00;11.07.97 08:00;3;5020;10597;PICCO;7;Piccolo und mehr;;35,12;Австрия
2817 Milton Dr.;Альбукерке;18.07.97 08:00;11.08.97 08:00;14.07.97 08:00;3;87110;10598;RATTC;1;Rattlesnake Canyon Grocery;NM;44,42;США
Fauntleroy Circus;Лондон;21.07.97 08:00;26.08.97 08:00;15.07.97 08:00;3;EC2 5NT;10599;BSBEV;6;B's Beverages;;29,98;Великобритания
"City Center Plaza
516 Main St.";Элгин;21.07.97 08:00;13.08.97 08:00;16.07.97 08:00;1;97827;10600;HUNGC;4;Hungry Coyote Import Store;OR;45,13;США
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;22.07.97 08:00;27.08.97 08:00;16.07.97 08:00;1;5022;10601;HILAA;7;HILARION-Abastos;Tochira;58,3;Венесуэлла
Smagsloget 45;Орхус;22.07.97 08:00;14.08.97 08:00;17.07.97 08:00;2;8200;10602;VAFFE;8;Vaffeljernet;;2,92;Дания
187 Suffolk Ln.;Буа;08.08.97 08:00;15.08.97 08:00;18.07.97 08:00;2;83720;10603;SAVEA;8;Save-a-lot Markets;ID;48,77;США
Jardim das rosas n. 32;Лиссабон;29.07.97 08:00;15.08.97 08:00;18.07.97 08:00;1;1675;10604;FURIB;1;Furia Bacalhau e Frutos do Mar;;7,46;Португалия
43 rue St. Laurent;Монреаль;29.07.97 08:00;18.08.97 08:00;21.07.97 08:00;2;H1J 1C3;10605;MEREP;1;Mere Paillarde;Quebec;379,13;Канада
Av. Ines de Castro, 414;Сан-Пауло;31.07.97 08:00;19.08.97 08:00;22.07.97 08:00;3;05634-030;10606;TRADH;4;Tradicao Hipermercados;SP;79,4;Бразилия
187 Suffolk Ln.;Буа;25.07.97 08:00;19.08.97 08:00;22.07.97 08:00;1;83720;10607;SAVEA;5;Save-a-lot Markets;ID;200,24;США
Luisenstr. 48;Мюнстер;01.08.97 08:00;20.08.97 08:00;23.07.97 08:00;2;44087;10608;TOMSP;4;Toms Spezialitaten;;27,79;Германия
67, rue des Cinquante Otages;Нант;30.07.97 08:00;21.08.97 08:00;24.07.97 08:00;2;44000;10609;DUMON;7;Du monde entier;;1,85;Франция
1 rue Alsace-Lorraine;Тулуза;06.08.97 08:00;22.08.97 08:00;25.07.97 08:00;1;31000;10610;LAMAI;8;La maison d'Asie;;26,78;Франция
ul. Filtrowa 68;Варшава;01.08.97 08:00;22.08.97 08:00;25.07.97 08:00;2;01-012;10611;WOLZA;6;Wolski Zajazd;;80,65;Польша
187 Suffolk Ln.;Буа;01.08.97 08:00;25.08.97 08:00;28.07.97 08:00;2;83720;10612;SAVEA;1;Save-a-lot Markets;ID;544,08;США
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;01.08.97 08:00;26.08.97 08:00;29.07.97 08:00;2;5022;10613;HILAA;4;HILARION-Abastos;Tochira;8,11;Венесуэлла
Forsterstr. 57;Мангейм;01.08.97 08:00;26.08.97 08:00;29.07.97 08:00;3;68306;10614;BLAUS;8;Blauer See Delikatessen;;1,93;Германия
Keskuskatu 45;Хельсинки;06.08.97 08:00;27.08.97 08:00;30.07.97 08:00;3;21240;10615;WILMK;2;Wilman Kala;;0,75;Финляндия
2732 Baker Blvd.;Юджин;05.08.97 08:00;28.08.97 08:00;31.07.97 08:00;2;97403;10616;GREAL;1;Great Lakes Food Market;OR;116,53;США
2732 Baker Blvd.;Юджин;04.08.97 08:00;28.08.97 08:00;31.07.97 08:00;2;97403;10617;GREAL;4;Great Lakes Food Market;OR;18,53;США
43 rue St. Laurent;Монреаль;08.08.97 08:00;12.09.97 08:00;01.08.97 08:00;1;H1J 1C3;10618;MEREP;1;Mere Paillarde;Quebec;154,68;Канада
43 rue St. Laurent;Монреаль;07.08.97 08:00;01.09.97 08:00;04.08.97 08:00;3;H1J 1C3;10619;MEREP;3;Mere Paillarde;Quebec;91,05;Канада
2319 Elm St.;Ванкувер;14.08.97 08:00;02.09.97 08:00;05.08.97 08:00;3;V3F 2K1;10620;LAUGB;2;Laughing Bacchus Wine Cellars;BC;0,94;Канада
"Garden House
Crowther Way";Cowes;11.08.97 08:00;02.09.97 08:00;05.08.97 08:00;2;PO31 7PJ;10621;ISLAT;4;Island Trading;Isle of White;23,73;Великобритания
Av. Copacabana, 267;Рио-де-Жанейро;11.08.97 08:00;03.09.97 08:00;06.08.97 08:00;3;02389-890;10622;RICAR;4;Ricardo Adocicados;RJ;50,97;Бразилия
Berliner Platz 43;Мюнхен;12.08.97 08:00;04.09.97 08:00;07.08.97 08:00;2;80805;10623;FRANK;8;Frankenversand;;97,18;Германия
55 Grizzly Peak Rd.;Бут;19.08.97 08:00;04.09.97 08:00;07.08.97 08:00;2;59801;10624;THECR;4;The Cracker Box;MT;94,8;США
Avda. de la Constitucion 2222;Мехико;14.08.97 08:00;05.09.97 08:00;08.08.97 08:00;1;05021;10625;ANATR;3;Ana Trujillo Emparedados y helados;;43,9;Мексика
Berguvsvagen  8;Лулео;20.08.97 08:00;08.09.97 08:00;11.08.97 08:00;2;S-958 22;10626;BERGS;1;Berglunds snabbkop;;138,69;Швеция
187 Suffolk Ln.;Буа;21.08.97 08:00;22.09.97 08:00;11.08.97 08:00;3;83720;10627;SAVEA;8;Save-a-lot Markets;ID;107,46;США
24, place Kleber;Страсбург;20.08.97 08:00;09.09.97 08:00;12.08.97 08:00;3;67000;10628;BLONP;4;Blondel pere et fils;;30,36;Франция
C/ Romero, 33;Севилья;20.08.97 08:00;09.09.97 08:00;12.08.97 08:00;3;41101;10629;GODOS;4;Godos Cocina Tipica;;85,46;Испания
Maubelstr. 90;Бранденбург;19.08.97 08:00;10.09.97 08:00;13.08.97 08:00;2;14776;10630;KOENE;1;Koniglich Essen;;32,35;Германия
1 rue Alsace-Lorraine;Тулуза;15.08.97 08:00;11.09.97 08:00;14.08.97 08:00;1;31000;10631;LAMAI;8;La maison d'Asie;;0,87;Франция
Adenauerallee 900;Штутгарт;19.08.97 08:00;11.09.97 08:00;14.08.97 08:00;1;70563;10632;WANDK;8;Die Wandernde Kuh;;41,38;Германия
Kirchgasse 6;Грасс;18.08.97 08:00;12.09.97 08:00;15.08.97 08:00;3;8010;10633;ERNSH;7;Ernst Handel;;477,9;Австрия
184, chaussee de Tournai;Лилль;21.08.97 08:00;12.09.97 08:00;15.08.97 08:00;3;59000;10634;FOLIG;4;Folies gourmandes;;487,38;Франция
Via Ludovico il Moro 22;Бергамо;21.08.97 08:00;15.09.97 08:00;18.08.97 08:00;3;24100;10635;MAGAA;8;Magazzini Alimentari Riuniti;;47,46;Италия
Torikatu 38;Оулу;26.08.97 08:00;16.09.97 08:00;19.08.97 08:00;1;90110;10636;WARTH;4;Wartian Herkku;;1,15;Финляндия
Alameda dos Canarios, 891;Сан-Пауло;26.08.97 08:00;16.09.97 08:00;19.08.97 08:00;1;05487-020;10637;QUEEN;6;Queen Cozinha;SP;201,29;Бразилия
Ave. 5 de Mayo Porlamar;О-в Маргариты;01.09.97 08:00;17.09.97 08:00;20.08.97 08:00;1;4980;10638;LINOD;3;LINO-Delicateses;Nueva Esparta;158,44;Венесуэлла
Erling Skakkes gate 78;Ставерен;27.08.97 08:00;17.09.97 08:00;20.08.97 08:00;3;4110;10639;SANTG;7;Sante Gourmet;;38,64;Норвегия
Adenauerallee 900;Штутгарт;28.08.97 08:00;18.09.97 08:00;21.08.97 08:00;1;70563;10640;WANDK;4;Die Wandernde Kuh;;23,55;Германия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;26.08.97 08:00;19.09.97 08:00;22.08.97 08:00;2;5022;10641;HILAA;4;HILARION-Abastos;Tochira;179,61;Венесуэлла
Vinbaeltet 34;Копенгаген;05.09.97 08:00;19.09.97 08:00;22.08.97 08:00;3;1734;10642;SIMOB;7;Simons bistro;;41,89;Дания
Тверская 13;Москва;02.09.97 08:00;22.09.97 08:00;25.08.97 08:00;1;111111;10643;BLAUS;6;"ТОО ""Мертвые души""";;29,46;Россия
Rua do Mercado, 12;Ресенде;01.09.97 08:00;22.09.97 08:00;25.08.97 08:00;2;08737-363;10644;WELLI;3;Wellington Importadora;SP;0,14;Бразилия
Rua do Paco, 67;Рио-де-Жанейро;02.09.97 08:00;23.09.97 08:00;26.08.97 08:00;1;05454-876;10645;HANAR;4;Hanari Carnes;RJ;12,41;Бразилия
8 Johnstown Road;Корк;03.09.97 08:00;08.10.97 08:00;27.08.97 08:00;3;;10646;HUNGO;9;Hungry Owl All-Night Grocers;Co. Cork;142,33;Ирландия
Rua da Panificadora, 12;Рио-де-Жанейро;03.09.97 08:00;10.09.97 08:00;27.08.97 08:00;2;02389-673;10647;QUEDE;4;Que Delicia;RJ;45,54;Бразилия
Av. Copacabana, 267;Рио-де-Жанейро;09.09.97 08:00;09.10.97 08:00;28.08.97 08:00;2;02389-890;10648;RICAR;5;Ricardo Adocicados;RJ;14,25;Бразилия
Rue Joseph-Bens 532;Брюссель;29.08.97 08:00;25.09.97 08:00;28.08.97 08:00;3;B-1180;10649;MAISD;5;Maison Dewey;;6,2;Бельгия
Rua Oros, 92;Сан-Пауло;03.09.97 08:00;26.09.97 08:00;29.08.97 08:00;3;05442-030;10650;FAMIA;5;Familia Arquibaldo;SP;176,81;Бразилия
Adenauerallee 900;Штутгарт;11.09.97 08:00;29.09.97 08:00;01.09.97 08:00;2;70563;10651;WANDK;8;Die Wandernde Kuh;;20,6;Германия
Av. Brasil, 442;Кампинас;08.09.97 08:00;29.09.97 08:00;01.09.97 08:00;2;04876-786;10652;GOURL;4;Gourmet Lanchonetes;SP;7,14;Бразилия
Berliner Platz 43;Мюнхен;19.09.97 08:00;30.09.97 08:00;02.09.97 08:00;1;80805;10653;FRANK;1;Frankenversand;;93,25;Германия
Berguvsvagen  8;Лулео;11.09.97 08:00;30.09.97 08:00;02.09.97 08:00;1;S-958 22;10654;BERGS;5;Berglunds snabbkop;;55,26;Швеция
Strada Provinciale 124;Реджио-Эмилио;11.09.97 08:00;01.10.97 08:00;03.09.97 08:00;2;42100;10655;REGGC;1;Reggiani Caseifici;;4,41;Италия
2732 Baker Blvd.;Юджин;10.09.97 08:00;02.10.97 08:00;04.09.97 08:00;1;97403;10656;GREAL;6;Great Lakes Food Market;OR;57,15;США
187 Suffolk Ln.;Буа;15.09.97 08:00;02.10.97 08:00;04.09.97 08:00;2;83720;10657;SAVEA;2;Save-a-lot Markets;ID;352,69;США
Taucherstrasse 10;Кюневальд;08.09.97 08:00;03.10.97 08:00;05.09.97 08:00;1;01307;10658;QUICK;4;QUICK-Stop;;364,15;Германия
Alameda dos Canarios, 891;Сан-Пауло;10.09.97 08:00;03.10.97 08:00;05.09.97 08:00;2;05487-020;10659;QUEEN;7;Queen Cozinha;SP;105,81;Бразилия
"City Center Plaza
516 Main St.";Элгин;15.10.97 08:00;06.10.97 08:00;08.09.97 08:00;1;97827;10660;HUNGC;8;Hungry Coyote Import Store;OR;111,29;США
8 Johnstown Road;Корк;15.09.97 08:00;07.10.97 08:00;09.09.97 08:00;3;;10661;HUNGO;7;Hungry Owl All-Night Grocers;Co. Cork;17,55;Ирландия
89 Chiaroscuro Rd.;Портленд;18.09.97 08:00;07.10.97 08:00;09.09.97 08:00;2;97219;10662;LONEP;3;Lonesome Pine Restaurant;OR;1,28;США
12, rue des Bouchers;Марсель;03.10.97 08:00;24.09.97 08:00;10.09.97 08:00;2;13008;10663;BONAP;2;Bon app';;113,15;Франция
Jardim das rosas n. 32;Лиссабон;19.09.97 08:00;08.10.97 08:00;10.09.97 08:00;3;1675;10664;FURIB;1;Furia Bacalhau e Frutos do Mar;;1,27;Португалия
89 Chiaroscuro Rd.;Портленд;17.09.97 08:00;09.10.97 08:00;11.09.97 08:00;2;97219;10665;LONEP;1;Lonesome Pine Restaurant;OR;26,31;США
Starenweg 5;Женева;22.09.97 08:00;10.10.97 08:00;12.09.97 08:00;2;1204;10666;RICSU;7;Richter Supermarkt;;232,42;Швейцария
Kirchgasse 6;Грасс;19.09.97 08:00;10.10.97 08:00;12.09.97 08:00;1;8010;10667;ERNSH;7;Ernst Handel;;78,09;Австрия
Adenauerallee 900;Штутгарт;23.09.97 08:00;13.10.97 08:00;15.09.97 08:00;2;70563;10668;WANDK;1;Die Wandernde Kuh;;47,22;Германия
Vinbaeltet 34;Копенгаген;22.09.97 08:00;13.10.97 08:00;15.09.97 08:00;1;1734;10669;SIMOB;2;Simons bistro;;24,39;Дания
Berliner Platz 43;Мюнхен;18.09.97 08:00;14.10.97 08:00;16.09.97 08:00;1;80805;10670;FRANK;4;Frankenversand;;203,48;Германия
54, rue Royale;Нант;24.09.97 08:00;15.10.97 08:00;17.09.97 08:00;1;44000;10671;FRANR;1;France restauration;;30,34;Франция
Berguvsvagen  8;Лулео;26.09.97 08:00;01.10.97 08:00;17.09.97 08:00;2;S-958 22;10672;BERGS;9;Berglunds snabbkop;;95,75;Швеция
Keskuskatu 45;Хельсинки;19.09.97 08:00;16.10.97 08:00;18.09.97 08:00;1;21240;10673;WILMK;2;Wilman Kala;;22,76;Финляндия
"Garden House
Crowther Way";Cowes;30.09.97 08:00;16.10.97 08:00;18.09.97 08:00;2;PO31 7PJ;10674;ISLAT;4;Island Trading;Isle of White;0,9;Великобритания
Berliner Platz 43;Мюнхен;23.09.97 08:00;17.10.97 08:00;19.09.97 08:00;2;80805;10675;FRANK;5;Frankenversand;;31,85;Германия
Avda. Azteca 123;Мехико;29.09.97 08:00;20.10.97 08:00;22.09.97 08:00;2;05033;10676;TORTU;2;Tortuga Restaurante;;2,01;Мексика
Mataderos  2312;Мехико;26.09.97 08:00;20.10.97 08:00;22.09.97 08:00;1;05023;10677;ANTON;7;Antonio Moreno Taqueria;;4,03;Мексика
187 Suffolk Ln.;Буа;16.10.97 08:00;21.10.97 08:00;23.09.97 08:00;3;83720;10678;SAVEA;7;Save-a-lot Markets;ID;388,98;США
24, place Kleber;Страсбург;30.09.97 08:00;21.10.97 08:00;23.09.97 08:00;2;67000;10679;BLONP;8;Blondel pere et fils;;27,94;Франция
2743 Bering St.;Анкоридж;26.09.97 08:00;22.10.97 08:00;24.09.97 08:00;1;99508;10680;OLDWO;1;Old World Delicatessen;AK;26,61;США
2732 Baker Blvd.;Юджин;30.09.97 08:00;23.10.97 08:00;25.09.97 08:00;3;97403;10681;GREAL;3;Great Lakes Food Market;OR;76,13;США
Mataderos  2312;Мехико;01.10.97 08:00;23.10.97 08:00;25.09.97 08:00;2;05023;10682;ANTON;3;Antonio Moreno Taqueria;;36,13;Мексика
67, rue des Cinquante Otages;Нант;01.10.97 08:00;24.10.97 08:00;26.09.97 08:00;1;44000;10683;DUMON;2;Du monde entier;;4,4;Франция
Mehrheimerstr. 369;Кельн;30.09.97 08:00;24.10.97 08:00;26.09.97 08:00;1;50739;10684;OTTIK;3;Ottilies Kaseladen;;145,63;Германия
Av. Brasil, 442;Кампинас;03.10.97 08:00;13.10.97 08:00;29.09.97 08:00;2;04876-786;10685;GOURL;4;Gourmet Lanchonetes;SP;33,75;Бразилия
Geislweg 14;Зальцбург;08.10.97 08:00;28.10.97 08:00;30.09.97 08:00;1;5020;10686;PICCO;2;Piccolo und mehr;;96,5;Австрия
8 Johnstown Road;Корк;30.10.97 08:00;28.10.97 08:00;30.09.97 08:00;2;;10687;HUNGO;9;Hungry Owl All-Night Grocers;Co. Cork;296,43;Ирландия
Smagsloget 45;Орхус;07.10.97 08:00;15.10.97 08:00;01.10.97 08:00;2;8200;10688;VAFFE;4;Vaffeljernet;;299,09;Дания
Berguvsvagen  8;Лулео;07.10.97 08:00;29.10.97 08:00;01.10.97 08:00;2;S-958 22;10689;BERGS;1;Berglunds snabbkop;;13,42;Швеция
Rua do Paco, 67;Рио-де-Жанейро;03.10.97 08:00;30.10.97 08:00;02.10.97 08:00;1;05454-876;10690;HANAR;1;Hanari Carnes;RJ;15,8;Бразилия
Taucherstrasse 10;Кюневальд;22.10.97 08:00;14.11.97 08:00;03.10.97 08:00;2;01307;10691;QUICK;2;QUICK-Stop;;810,05;Германия
Rue Joseph-Bens 532;Брюссель;13.10.97 08:00;31.10.97 08:00;03.10.97 08:00;2;B-1180;10692;MAISD;8;Maison Dewey;;61,75;Бельгия
1029 - 12th Ave. S.;Сиэтл;10.10.97 08:00;20.10.97 08:00;06.10.97 08:00;3;98124;10693;WHITC;3;White Clover Markets;WA;139,34;США
Taucherstrasse 10;Кюневальд;09.10.97 08:00;03.11.97 08:00;06.10.97 08:00;3;01307;10694;QUICK;8;QUICK-Stop;;398,36;Германия
Keskuskatu 45;Хельсинки;14.10.97 08:00;18.11.97 08:00;07.10.97 08:00;1;21240;10695;WILMK;7;Wilman Kala;;16,72;Финляндия
1029 - 12th Ave. S.;Сиэтл;14.10.97 08:00;19.11.97 08:00;08.10.97 08:00;3;98124;10696;WHITC;8;White Clover Markets;WA;102,55;США
Ave. 5 de Mayo Porlamar;О-в Маргариты;14.10.97 08:00;05.11.97 08:00;08.10.97 08:00;1;4980;10697;LINOD;3;LINO-Delicateses;Nueva Esparta;45,52;Венесуэлла
Kirchgasse 6;Грасс;17.10.97 08:00;06.11.97 08:00;09.10.97 08:00;1;8010;10698;ERNSH;4;Ernst Handel;;272,47;Австрия
Heerstr. 22;Лейпциг;13.10.97 08:00;06.11.97 08:00;09.10.97 08:00;3;04179;10699;MORGK;3;Morgenstern Gesundkost;;0,58;Германия
187 Suffolk Ln.;Буа;16.10.97 08:00;07.11.97 08:00;10.10.97 08:00;1;83720;10700;SAVEA;3;Save-a-lot Markets;ID;65,1;США
8 Johnstown Road;Корк;15.10.97 08:00;27.10.97 08:00;13.10.97 08:00;3;;10701;HUNGO;6;Hungry Owl All-Night Grocers;Co. Cork;220,31;Ирландия
Obere Str. 57;Берлин;21.10.97 08:00;24.11.97 08:00;13.10.97 08:00;1;12209;10702;ALFKI;4;Alfreds Futterkiste;;23,94;Германия
Lkergatan 24;Брекке;20.10.97 08:00;11.11.97 08:00;14.10.97 08:00;2;S-844 67;10703;FOLKO;6;Folk och fa HB;;152,3;Швеция
Alameda dos Canarios, 891;Сан-Пауло;07.11.97 08:00;11.11.97 08:00;14.10.97 08:00;1;05487-020;10704;QUEEN;6;Queen Cozinha;SP;4,78;Бразилия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;18.11.97 08:00;12.11.97 08:00;15.10.97 08:00;2;5022;10705;HILAA;9;HILARION-Abastos;Tochira;3,52;Венесуэлла
2743 Bering St.;Анкоридж;21.10.97 08:00;13.11.97 08:00;16.10.97 08:00;3;99508;10706;OLDWO;8;Old World Delicatessen;AK;135,63;США
"Brook Farm
Stratford St. Mary";Колчестер;23.10.97 08:00;30.10.97 08:00;16.10.97 08:00;3;CO7 6JX;10707;AROUT;4;Around the Horn;Essex;21,74;Великобритания
"89 Jefferson Way
Suite 2";Портленд;05.11.97 08:00;28.11.97 08:00;17.10.97 08:00;2;97201;10708;THEBI;6;The Big Cheese;OR;2,96;США
Av. Brasil, 442;Кампинас;20.11.97 08:00;14.11.97 08:00;17.10.97 08:00;3;04876-786;10709;GOURL;1;Gourmet Lanchonetes;SP;210,8;Бразилия
Via Monte Bianco 34;Турин;23.10.97 08:00;17.11.97 08:00;20.10.97 08:00;1;10100;10710;FRANS;1;Franchi S.p.A.;;4,98;Италия
187 Suffolk Ln.;Буа;29.10.97 08:00;02.12.97 08:00;21.10.97 08:00;2;83720;10711;SAVEA;5;Save-a-lot Markets;ID;52,41;США
8 Johnstown Road;Корк;31.10.97 08:00;18.11.97 08:00;21.10.97 08:00;1;;10712;HUNGO;3;Hungry Owl All-Night Grocers;Co. Cork;89,93;Ирландия
187 Suffolk Ln.;Буа;24.10.97 08:00;19.11.97 08:00;22.10.97 08:00;1;83720;10713;SAVEA;1;Save-a-lot Markets;ID;167,05;США
187 Suffolk Ln.;Буа;27.10.97 08:00;19.11.97 08:00;22.10.97 08:00;3;83720;10714;SAVEA;5;Save-a-lot Markets;ID;24,49;США
12, rue des Bouchers;Марсель;29.10.97 08:00;06.11.97 08:00;23.10.97 08:00;1;13008;10715;BONAP;3;Bon app';;63,2;Франция
Av. del Libertador 900;Буэнос-Айрес;27.10.97 08:00;21.11.97 08:00;24.10.97 08:00;2;1010;10716;RANCH;4;Rancho grande;;22,57;Аргентина
Berliner Platz 43;Мюнхен;29.10.97 08:00;21.11.97 08:00;24.10.97 08:00;2;80805;10717;FRANK;1;Frankenversand;;59,25;Германия
Maubelstr. 90;Бранденбург;29.10.97 08:00;24.11.97 08:00;27.10.97 08:00;3;14776;10718;KOENE;1;Koniglich Essen;;170,88;Германия
"87 Polk St.
Suite 5";Сан-Франциско;05.11.97 08:00;24.11.97 08:00;27.10.97 08:00;2;94117;10719;LETSS;8;Let's Stop N Shop;CA;51,44;США
Rua da Panificadora, 12;Рио-де-Жанейро;05.11.97 08:00;11.11.97 08:00;28.10.97 08:00;2;02389-673;10720;QUEDE;8;Que Delicia;RJ;9,53;Бразилия
Taucherstrasse 10;Кюневальд;31.10.97 08:00;26.11.97 08:00;29.10.97 08:00;3;01307;10721;QUICK;5;QUICK-Stop;;48,92;Германия
187 Suffolk Ln.;Буа;04.11.97 08:00;10.12.97 08:00;29.10.97 08:00;1;83720;10722;SAVEA;8;Save-a-lot Markets;ID;74,58;США
1029 - 12th Ave. S.;Сиэтл;25.11.97 08:00;27.11.97 08:00;30.10.97 08:00;1;98124;10723;WHITC;3;White Clover Markets;WA;21,72;США
43 rue St. Laurent;Монреаль;05.11.97 08:00;11.12.97 08:00;30.10.97 08:00;2;H1J 1C3;10724;MEREP;8;Mere Paillarde;Quebec;57,75;Канада
Rua Oros, 92;Сан-Пауло;05.11.97 08:00;28.11.97 08:00;31.10.97 08:00;3;05442-030;10725;FAMIA;4;Familia Arquibaldo;SP;10,83;Бразилия
35 King George;Лондон;05.12.97 08:00;17.11.97 08:00;03.11.97 08:00;1;WX3 6FW;10726;EASTC;4;Eastern Connection;;16,56;Великобритания
Strada Provinciale 124;Реджио-Эмилио;05.12.97 08:00;01.12.97 08:00;03.11.97 08:00;1;42100;10727;REGGC;2;Reggiani Caseifici;;89,9;Италия
Alameda dos Canarios, 891;Сан-Пауло;11.11.97 08:00;02.12.97 08:00;04.11.97 08:00;2;05487-020;10728;QUEEN;4;Queen Cozinha;SP;58,33;Бразилия
Ave. 5 de Mayo Porlamar;О-в Маргариты;14.11.97 08:00;16.12.97 08:00;04.11.97 08:00;3;4980;10729;LINOD;8;LINO-Delicateses;Nueva Esparta;141,06;Венесуэлла
